customerID,tenure,Contract,PaymentMethod,PaymentMethod_[0],TotalCharges,Churn
6035-BXTTY,32,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1830.1,No
6885-PKOAM,71,"Two year","Credit card (automatic)","Credit card (automatic)",6223.8,No
7520-HQWJU,66,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",4508.65,No
9639-BUJXT,63,"One year","Mailed check","Mailed check",1328.15,No
5924-SNGKP,41,"One year","Credit card (automatic)","Credit card (automatic)",865,No
0021-IKXGC,1,Month-to-month,"Electronic check","Electronic check",72.1,No
2034-GDRCN,2,Month-to-month,"Electronic check","Electronic check",168.2,Yes
8966-SNIZF,70,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1303.5,No
6243-OZGFH,23,Month-to-month,"Electronic check","Electronic check",996.85,No
4654-DLAMQ,64,"One year","Bank transfer (automatic)","Bank transfer (automatic)",6430.9,No
0513-RBGPE,37,"Two year","Credit card (automatic)","Credit card (automatic)",2278.75,No
5160-UXJED,17,"One year","Mailed check","Mailed check",681.4,No
4115-NZRKS,7,Month-to-month,"Electronic check","Electronic check",574.35,No
0219-YTZUE,4,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",371.9,Yes
0623-IIHUG,21,Month-to-month,"Electronic check","Electronic check",840.1,Yes
4572-DVCGN,10,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",846,Yes
3351-NGXYI,16,Month-to-month,"Electronic check","Electronic check",889,No
8984-EYLLL,64,"Two year","Electronic check","Electronic check",6823.4,No
9057-MSWCO,27,Month-to-month,"Credit card (automatic)","Credit card (automatic)",805.1,Yes
9833-TGFHX,42,"One year","Electronic check","Electronic check",4016.75,No
9294-TDIPC,5,Month-to-month,"Mailed check","Mailed check",83.75,No
5229-DTFYB,41,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",3959.15,No
0104-PPXDV,58,"One year","Credit card (automatic)","Credit card (automatic)",2878.55,No
5176-LMJXE,47,"Two year","Mailed check","Mailed check",945.7,No
3583-KRKMD,18,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1373.05,No
1010-DIAUQ,5,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",492.55,Yes
9069-LGEUL,23,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1406,No
7302-ZHMHP,1,Month-to-month,"Mailed check","Mailed check",19.15,No
9571-EDEBV,71,"One year","Credit card (automatic)","Credit card (automatic)",6962.85,No
3520-FJGCV,72,"Two year","Credit card (automatic)","Credit card (automatic)",8126.65,No
6563-VRERX,33,"One year","Mailed check","Mailed check",690.25,No
0259-GBZSH,2,Month-to-month,"Electronic check","Electronic check",181.5,Yes
6122-EFVKN,24,"Two year","Mailed check","Mailed check",830.8,No
2805-EDJPQ,56,"One year","Credit card (automatic)","Credit card (automatic)",5608.4,No
6862-CQUMB,37,Month-to-month,"Credit card (automatic)","Credit card (automatic)",3646.8,No
7156-MXBJE,43,"One year","Credit card (automatic)","Credit card (automatic)",3662.25,No
6158-HDPXZ,1,Month-to-month,"Mailed check","Mailed check",25.35,No
9601-BRXPO,25,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",2566.5,Yes
2863-IMQDR,61,"Two year","Electronic check","Electronic check",5308.7,No
5686-CMAWK,17,"One year","Electronic check","Electronic check",1410.25,No
5651-CRHKQ,41,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3339.05,No
6905-NIQIN,1,Month-to-month,"Mailed check","Mailed check",50.65,Yes
8204-YJCLA,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",4732.35,No
5167-ZFFMM,1,Month-to-month,"Credit card (automatic)","Credit card (automatic)",90.85,Yes
6583-SZVGP,48,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",5067.45,No
4895-TMWIR,11,Month-to-month,"Mailed check","Mailed check",214.75,Yes
0533-BNWKF,55,Month-to-month,"Electronic check","Electronic check",4874.7,Yes
1708-PBBOA,42,"One year","Electronic check","Electronic check",2348.45,No
8782-LKFPK,44,Month-to-month,"Mailed check","Mailed check",4063,No
5522-JBWMO,1,Month-to-month,"Electronic check","Electronic check",44,No
3597-MVHJT,27,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",2595.25,No
9774-NRNAU,27,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",2309.55,No
0224-RLWWD,2,Month-to-month,"Electronic check","Electronic check",89.3,No
9967-ATRFS,19,Month-to-month,"Mailed check","Mailed check",367.55,No
3951-NJCVI,42,Month-to-month,"Electronic check","Electronic check",3944.5,No
2977-CEBSX,66,"Two year","Credit card (automatic)","Credit card (automatic)",5965.95,No
0177-PXBAT,33,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",3694.7,No
6599-CEBNN,34,Month-to-month,"Credit card (automatic)","Credit card (automatic)",2524.45,Yes
2519-ERQOJ,33,Month-to-month,"Electronic check","Electronic check",1803.7,No
5876-QMYLD,23,"One year","Mailed check","Mailed check",415.1,No
2277-AXSDC,32,"One year","Bank transfer (automatic)","Bank transfer (automatic)",624.15,No
9442-JTWDL,11,"One year","Credit card (automatic)","Credit card (automatic)",237.7,No
0979-PHULV,69,Month-to-month,"Credit card (automatic)","Credit card (automatic)",7007.6,Yes
3067-SVMTC,68,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3848.8,No
5495-GPSRW,20,"Two year","Mailed check","Mailed check",419.4,No
7606-BPHHN,72,"Two year","Credit card (automatic)","Credit card (automatic)",1468.75,No
4742-DRORA,60,"One year","Bank transfer (automatic)","Bank transfer (automatic)",5812,No
0111-KLBQG,32,Month-to-month,"Mailed check","Mailed check",2861.45,No
4800-VHZKI,1,Month-to-month,"Mailed check","Mailed check",19.9,Yes
7989-CHGTL,1,Month-to-month,"Mailed check","Mailed check",19.6,Yes
0334-GDDSO,3,Month-to-month,"Electronic check","Electronic check",233.7,Yes
4163-NCJAK,46,"One year","Bank transfer (automatic)","Bank transfer (automatic)",1066.15,No
5233-AOZUF,29,Month-to-month,"Electronic check","Electronic check",2149.05,No
5973-EJGDP,51,Month-to-month,"Electronic check","Electronic check",4473,No
1996-DBMUS,48,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",3545.05,No
7916-VCCPB,16,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1195.75,No
4686-GEFRM,70,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",6858.9,No
5249-QYHEX,40,"Two year","Mailed check","Mailed check",1024.7,No
0578-SKVMF,22,Month-to-month,"Electronic check","Electronic check",1845.9,Yes
5564-NEMQO,1,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",75.3,Yes
2233-FAGXV,5,Month-to-month,"Mailed check","Mailed check",132.25,No
5605-IYGFG,7,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",515.45,No
7663-ZTEGJ,29,"One year","Credit card (automatic)","Credit card (automatic)",2830.45,No
3935-TBRZZ,44,"One year","Mailed check","Mailed check",1110.5,No
8111-BKVDS,10,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",449.3,No
2055-SIFSS,55,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",2838.55,No
2806-MLNTI,52,"One year","Bank transfer (automatic)","Bank transfer (automatic)",5376.4,No
8734-DKSTZ,10,Month-to-month,"Electronic check","Electronic check",858.6,No
4360-PNRQB,18,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1395.05,No
6152-ONASV,68,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3975.7,No
9063-ZGTUY,61,Month-to-month,"Mailed check","Mailed check",1182.55,Yes
7781-HVGMK,72,"Two year","Credit card (automatic)","Credit card (automatic)",4784.45,No
2181-UAESM,2,Month-to-month,"Electronic check","Electronic check",119.5,No
2957-LOLHO,12,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",518.9,Yes
6048-NJXHX,41,"Two year","Electronic check","Electronic check",899.45,No
2320-SLKMB,26,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1183.8,No
4980-URKXC,36,"One year","Bank transfer (automatic)","Bank transfer (automatic)",720.05,No
4376-KFVRS,72,"Two year","Credit card (automatic)","Credit card (automatic)",8468.2,No
5886-VLQVU,35,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",3161.2,No
3577-AMVUX,1,Month-to-month,"Mailed check","Mailed check",55.05,No
0771-WLCLA,16,Month-to-month,"Electronic check","Electronic check",1882.55,No
5628-RKIFK,49,Month-to-month,"Credit card (automatic)","Credit card (automatic)",5070.4,No
0206-TBWLC,54,"One year","Mailed check","Mailed check",6049.5,No
2937-FTHUR,18,Month-to-month,"Electronic check","Electronic check",1166.7,No
1910-FMXJM,36,Month-to-month,"Electronic check","Electronic check",2937.65,No
7752-XUSCI,60,Month-to-month,"Electronic check","Electronic check",6396.45,Yes
4110-PFEUZ,1,Month-to-month,"Mailed check","Mailed check",69.55,Yes
0732-OCQOC,52,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1270.25,No
5168-MSWXT,8,Month-to-month,"Electronic check","Electronic check",759.55,No
1090-ESELR,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",7611.55,No
8592-PLTMQ,64,"One year","Mailed check","Mailed check",1642.75,No
5760-WRAHC,22,Month-to-month,"Mailed check","Mailed check",1545.4,No
8847-GEOOQ,60,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",3582.4,No
0256-LTHVJ,28,Month-to-month,"Electronic check","Electronic check",2227.1,Yes
4785-FCIFB,61,"Two year","Mailed check","Mailed check",1417.9,No
8313-NDOIA,24,Month-to-month,"Electronic check","Electronic check",2494.65,No
5149-CUZUJ,28,"One year","Bank transfer (automatic)","Bank transfer (automatic)",2768.35,No
0942-KOWSM,30,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",2369.3,No
4237-CLSMM,2,Month-to-month,"Mailed check","Mailed check",38,No
1452-VOQCH,1,Month-to-month,"Electronic check","Electronic check",75.1,No
4719-UMSIY,6,Month-to-month,"Mailed check","Mailed check",100.9,No
6614-VBEGU,24,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1614.05,No
0880-TKATG,4,Month-to-month,"Electronic check","Electronic check",385.9,Yes
3811-VBYBZ,7,Month-to-month,"Electronic check","Electronic check",673.25,Yes
1480-BKXGA,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",8404.9,No
2996-XAUVF,70,"Two year","Mailed check","Mailed check",2799.75,No
9076-AXYIK,64,"Two year","Electronic check","Electronic check",6538.45,No
5968-XQIVE,72,"One year","Electronic check","Electronic check",6588.95,No
8896-RAZCR,44,"Two year","Mailed check","Mailed check",868.1,No
4640-UHDOS,13,Month-to-month,"Electronic check","Electronic check",734.35,Yes
4933-IKULF,17,"One year","Mailed check","Mailed check",330.6,No
3583-EKAPL,1,Month-to-month,"Electronic check","Electronic check",55,Yes
1304-BCCFO,9,Month-to-month,"Mailed check","Mailed check",564.4,No
4104-PVRPS,24,Month-to-month,"Mailed check","Mailed check",1315.35,No
9399-APLBT,1,Month-to-month,"Electronic check","Electronic check",74.7,Yes
2359-KMGLI,24,Month-to-month,"Electronic check","Electronic check",1861.5,Yes
3780-DDGSE,35,Month-to-month,"Electronic check","Electronic check",2747.2,No
4431-EDMIQ,7,Month-to-month,"Electronic check","Electronic check",554.05,No
0306-JAELE,5,Month-to-month,"Electronic check","Electronic check",453.4,Yes
6227-HWPWX,15,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",994.8,Yes
0486-LGCCH,11,"Two year","Mailed check","Mailed check",225.75,No
0447-BEMNG,48,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",2145,Yes
4612-SSVHJ,20,Month-to-month,"Electronic check","Electronic check",1671.6,No
5168-MQQCA,72,"One year","Bank transfer (automatic)","Bank transfer (automatic)",8003.8,No
5949-XIKAE,8,Month-to-month,"Electronic check","Electronic check",680.05,Yes
7971-HLVXI,72,"Two year","Credit card (automatic)","Credit card (automatic)",6130.85,No
9094-AZPHK,15,Month-to-month,"Electronic check","Electronic check",1415,No
3649-JPUGY,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",6201.95,No
8372-JUXUI,1,Month-to-month,"Electronic check","Electronic check",74.35,Yes
3552-CTCYF,63,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",6597.25,No
6778-YSNIH,2,Month-to-month,"Electronic check","Electronic check",114.15,No
0388-EOPEX,2,Month-to-month,"Electronic check","Electronic check",139.4,Yes
5756-OZRIO,61,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3902.6,No
6579-JPICP,1,Month-to-month,"Mailed check","Mailed check",20.4,No
8205-OTCHB,22,"One year","Bank transfer (automatic)","Bank transfer (automatic)",903.6,Yes
4134-BSXLX,28,Month-to-month,"Mailed check","Mailed check",1785.65,No
0505-SPOOW,70,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1397.65,No
6235-VDHOM,5,Month-to-month,"Electronic check","Electronic check",131.05,Yes
7783-YKGDV,12,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1238.45,Yes
4374-YMUSQ,34,"One year","Credit card (automatic)","Credit card (automatic)",3899.05,No
4513-CXYIX,71,"Two year","Credit card (automatic)","Credit card (automatic)",5676,No
3957-HHLMR,70,"One year","Bank transfer (automatic)","Bank transfer (automatic)",4543.15,No
7803-XOCCZ,52,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",4326.8,No
5736-YEJAX,69,"Two year","Credit card (automatic)","Credit card (automatic)",5502.55,No
5609-CEBID,20,Month-to-month,"Electronic check","Electronic check",1782.4,Yes
8981-FJGLA,11,Month-to-month,"Mailed check","Mailed check",851.8,No
7218-HKQFK,2,Month-to-month,"Electronic check","Electronic check",167.5,Yes
4636-QRJKY,6,Month-to-month,"Electronic check","Electronic check",502.85,Yes
1135-LMECX,1,Month-to-month,"Mailed check","Mailed check",19.85,No
4332-MUOEZ,20,"One year","Credit card (automatic)","Credit card (automatic)",1818.3,No
8535-SFUTN,61,Month-to-month,"Electronic check","Electronic check",6300.15,No
5956-VKDTT,5,Month-to-month,"Electronic check","Electronic check",334.8,Yes
8677-HDZEE,56,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",5916.95,No
2475-MROZF,30,Month-to-month,"Credit card (automatic)","Credit card (automatic)",2852.4,No
9412-GHEEC,40,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",4131.95,Yes
3482-ABPKK,28,"One year","Mailed check","Mailed check",1546.3,No
6705-LXORM,5,Month-to-month,"Electronic check","Electronic check",302.6,No
0257-ZESQC,27,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1929.35,Yes
7531-GQHME,12,Month-to-month,"Credit card (automatic)","Credit card (automatic)",265.45,No
5174-ITUMV,67,"One year","Electronic check","Electronic check",6989.45,No
4109-CYRBD,29,Month-to-month,"Electronic check","Electronic check",1442,No
0913-XWSCN,55,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",4713.4,No
6825-UYPFK,23,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1758.6,Yes
8397-MVTAZ,34,Month-to-month,"Electronic check","Electronic check",3480,Yes
0750-EBAIU,52,"One year","Electronic check","Electronic check",4738.3,No
8606-CIQUL,72,"Two year","Credit card (automatic)","Credit card (automatic)",8399.15,No
3571-DPYUH,58,"One year","Credit card (automatic)","Credit card (automatic)",5430.35,No
7601-GNDYK,35,"Two year","Mailed check","Mailed check",686.95,No
0356-OBMAC,56,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",5706.3,No
8067-NIOYM,24,"Two year","Credit card (automatic)","Credit card (automatic)",490.65,No
1403-GYAFU,70,"Two year","Credit card (automatic)","Credit card (automatic)",1360.25,No
4234-XTNEA,2,Month-to-month,"Electronic check","Electronic check",174.45,No
1297-VQDRP,68,"One year","Credit card (automatic)","Credit card (automatic)",7379.8,No
9282-IZGQK,1,Month-to-month,"Electronic check","Electronic check",85,Yes
5348-CAGXB,12,Month-to-month,"Electronic check","Electronic check",1021.75,No
0621-HJWXJ,63,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",5029.05,No
5844-QVTAT,33,"One year","Mailed check","Mailed check",1955.4,No
8905-IAZPF,69,"One year","Credit card (automatic)","Credit card (automatic)",6744.2,No
5394-MEITZ,60,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",4946.7,No
6859-QNXIQ,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",8248.5,No
2782-LFZVW,11,Month-to-month,"Mailed check","Mailed check",601.6,No
2866-IKBTM,1,Month-to-month,"Mailed check","Mailed check",19.55,No
1342-JPNKI,10,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",834.1,Yes
2817-NTQDO,13,Month-to-month,"Credit card (automatic)","Credit card (automatic)",597,Yes
7129-AZJDE,34,"One year","Bank transfer (automatic)","Bank transfer (automatic)",2647.2,No
6986-IJDHX,39,Month-to-month,"Mailed check","Mailed check",3266,Yes
2560-PPCHE,65,"One year","Bank transfer (automatic)","Bank transfer (automatic)",6744.25,No
4676-MQUEA,50,"One year","Bank transfer (automatic)","Bank transfer (automatic)",5265.5,No
8138-EALND,15,Month-to-month,"Mailed check","Mailed check",311.6,No
3580-HYCSP,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",7966.9,No
1352-HNSAW,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",8220.4,No
2075-PUEPR,55,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1153.25,No
1982-FEBTD,23,"Two year","Credit card (automatic)","Credit card (automatic)",514.75,No
5301-GAUUY,32,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",2596.15,Yes
5791-KAJFD,56,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3808,No
2654-VBVPB,1,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",19.9,No
1154-HYWWO,38,"One year","Mailed check","Mailed check",2708.2,No
2501-XWWTZ,11,Month-to-month,"Electronic check","Electronic check",760.05,No
3716-UVSPD,1,Month-to-month,"Electronic check","Electronic check",49.3,No
6815-ABQFQ,56,"One year","Electronic check","Electronic check",6033.3,No
7343-EOBEU,3,Month-to-month,"Mailed check","Mailed check",89.05,No
3701-SFMUH,7,Month-to-month,"Credit card (automatic)","Credit card (automatic)",516.15,No
6103-LIANB,59,"Two year","Credit card (automatic)","Credit card (automatic)",5861.75,No
7319-VENRZ,7,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",445.95,No
5846-NEQVZ,71,"Two year","Credit card (automatic)","Credit card (automatic)",4973.4,No
6967-QIQRV,15,"One year","Electronic check","Electronic check",1667.25,No
5781-RFZRP,71,"Two year","Credit card (automatic)","Credit card (automatic)",5357.75,No
0939-YAPAF,35,Month-to-month,"Electronic check","Electronic check",3527.6,Yes
0308-IVGOK,11,"One year","Credit card (automatic)","Credit card (automatic)",422.6,No
7293-LSCDV,60,"Two year","Credit card (automatic)","Credit card (automatic)",1103.25,No
7025-WCBNE,47,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",2754,No
5756-JYOJT,11,"One year","Credit card (automatic)","Credit card (automatic)",697.25,No
4710-FDUIZ,56,"One year","Credit card (automatic)","Credit card (automatic)",5614.45,Yes
6030-REHUX,28,Month-to-month,"Electronic check","Electronic check",3204.4,No
9548-LIGTA,61,"Two year","Mailed check","Mailed check",4747.65,No
5150-LJNSR,31,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3082.1,No
8270-RKSAP,9,Month-to-month,"Electronic check","Electronic check",597.9,No
6522-YRBXD,35,Month-to-month,"Electronic check","Electronic check",3365.4,No
2640-LYMOV,2,Month-to-month,"Mailed check","Mailed check",38.8,No
1218-VKFPE,12,Month-to-month,"Mailed check","Mailed check",233.55,Yes
3627-FHKBK,1,Month-to-month,"Mailed check","Mailed check",75.3,Yes
2865-TCHJW,4,Month-to-month,"Electronic check","Electronic check",346.2,Yes
1423-BMPBQ,1,Month-to-month,"Mailed check","Mailed check",19,No
2393-DIVAI,3,Month-to-month,"Mailed check","Mailed check",61.7,No
5192-EBGOV,1,Month-to-month,"Electronic check","Electronic check",85.7,Yes
4568-KNYWR,52,"Two year","Credit card (automatic)","Credit card (automatic)",3342.45,No
8752-IMQOS,5,"One year","Mailed check","Mailed check",85.1,No
0742-LAFQK,72,"Two year","Electronic check","Electronic check",7422.1,No
0795-LAFGP,71,"Two year","Electronic check","Electronic check",6668.05,No
0619-OLYUR,72,"Two year","Credit card (automatic)","Credit card (automatic)",8071.05,No
5512-IDZEI,46,"One year","Electronic check","Electronic check",1174.8,No
0459-SPZHJ,63,"Two year","Credit card (automatic)","Credit card (automatic)",5435,No
0215-BQKGS,30,Month-to-month,"Credit card (automatic)","Credit card (automatic)",2438.6,No
9244-ZVAPM,1,Month-to-month,"Mailed check","Mailed check",45.6,No
0719-SYFRB,12,Month-to-month,"Mailed check","Mailed check",713.75,Yes
8208-EUMTE,16,"Two year","Mailed check","Mailed check",916.15,No
5172-MIGPM,4,Month-to-month,"Mailed check","Mailed check",237.2,No
1710-RCXUS,51,"One year","Credit card (automatic)","Credit card (automatic)",4614.55,No
0374-FIUCA,65,"Two year","Credit card (automatic)","Credit card (automatic)",1414.45,No
5839-SUYVZ,16,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1170.5,No
5173-ZXXXL,2,"One year","Mailed check","Mailed check",47.7,No
1096-ADRUX,66,"One year","Bank transfer (automatic)","Bank transfer (automatic)",4859.25,No
2001-MCUUW,46,"Two year","Electronic check","Electronic check",4903.2,No
2731-GJRDG,32,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3608,No
4723-BEGSG,72,"Two year","Credit card (automatic)","Credit card (automatic)",6094.25,No
6516-NKQBO,38,"Two year","Credit card (automatic)","Credit card (automatic)",3084.9,No
8672-OAUPW,51,"One year","Credit card (automatic)","Credit card (automatic)",2356.75,No
8207-DMRVL,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",8306.05,No
3419-SNJJD,65,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",6786.4,Yes
6543-CPZMK,9,Month-to-month,"Electronic check","Electronic check",248.95,Yes
4765-OXPPD,9,Month-to-month,"Mailed check","Mailed check",663.05,Yes
2804-ETQDK,66,"Two year","Mailed check","Mailed check",1357.1,No
6689-VRRTK,44,"One year","Credit card (automatic)","Credit card (automatic)",4860.35,No
7138-GIRSH,50,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",3418.2,No
9396-ZSFLL,15,Month-to-month,"Mailed check","Mailed check",631.4,No
6464-KEXXH,8,Month-to-month,"Credit card (automatic)","Credit card (automatic)",186.3,No
7134-MJPDY,66,"One year","Credit card (automatic)","Credit card (automatic)",6976.75,No
5240-CAOYT,57,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",4884.85,No
4059-IIEBK,7,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",522.95,No
4881-JVQOD,10,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",362.6,No
0516-UXRMT,62,"One year","Electronic check","Electronic check",5755.8,No
4851-BQDNX,40,"One year","Electronic check","Electronic check",3355.65,No
5148-HKFIR,20,"Two year","Mailed check","Mailed check",406.95,No
1009-IRMNA,7,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",137.6,Yes
3003-CMDUU,25,Month-to-month,"Electronic check","Electronic check",2395.7,No
5016-IBERQ,23,Month-to-month,"Electronic check","Electronic check",1968.1,No
6797-UCJHZ,66,"One year","Credit card (automatic)","Credit card (automatic)",6819.45,No
2469-DTSGX,72,"Two year","Electronic check","Electronic check",7943.45,No
4554-YGZIH,49,Month-to-month,"Credit card (automatic)","Credit card (automatic)",4547.25,Yes
5099-BAILX,43,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",4687.9,Yes
9931-KGHOA,46,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",2473.95,No
1775-KWJKQ,72,"Two year","Credit card (automatic)","Credit card (automatic)",6562.9,No
7665-VIGUD,10,"One year","Mailed check","Mailed check",176.3,No
9411-TPQQV,40,"One year","Bank transfer (automatic)","Bank transfer (automatic)",2236.2,No
7207-RMRDB,65,Month-to-month,"Electronic check","Electronic check",6985.65,Yes
7954-MLBUN,31,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",3109.9,No
2077-DDHJK,68,"Two year","Credit card (automatic)","Credit card (automatic)",4911.35,No
4913-EHYUI,56,"One year","Bank transfer (automatic)","Bank transfer (automatic)",5794.65,Yes
0195-IESCP,10,Month-to-month,"Electronic check","Electronic check",855.3,Yes
9574-BOSMD,68,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1620.2,No
4580-TMHJU,43,Month-to-month,"Electronic check","Electronic check",2499.3,Yes
0970-ETWGE,1,Month-to-month,"Electronic check","Electronic check",89.55,Yes
4908-XAXAY,49,"One year","Bank transfer (automatic)","Bank transfer (automatic)",4287.2,No
8404-VLQFB,15,Month-to-month,"Electronic check","Electronic check",394.85,No
1626-ERCMM,20,Month-to-month,"Electronic check","Electronic check",1899.65,Yes
0887-HJGAR,1,Month-to-month,"Mailed check","Mailed check",45.7,Yes
2391-IPLOP,50,"One year","Electronic check","Electronic check",3442.15,No
5644-PDMZC,2,Month-to-month,"Electronic check","Electronic check",161.5,Yes
3509-GWQGF,24,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1732.6,No
9576-ANLXO,3,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",222.3,Yes
2024-BASKD,1,Month-to-month,"Mailed check","Mailed check",74.6,Yes
5845-BZZIB,35,"Two year","Mailed check","Mailed check",655.3,No
1140-UKVZG,17,Month-to-month,"Mailed check","Mailed check",475.25,No
4160-AMJTL,8,Month-to-month,"Electronic check","Electronic check",164.3,Yes
5183-SNMJQ,10,Month-to-month,"Credit card (automatic)","Credit card (automatic)",865.1,No
8100-PNJMH,68,"Two year","Credit card (automatic)","Credit card (automatic)",6132.7,No
7838-LAZFO,45,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3597.5,No
4464-JCOLN,2,"One year","Mailed check","Mailed check",35.9,Yes
2085-JVGAD,37,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",697.65,No
5650-VDUDS,4,Month-to-month,"Mailed check","Mailed check",96.05,Yes
8095-WANWK,10,Month-to-month,"Mailed check","Mailed check",428.7,No
3030-ZKIWL,1,Month-to-month,"Mailed check","Mailed check",20.05,No
9565-FLVCG,65,"Two year","Mailed check","Mailed check",4459.15,No
8755-OGKNA,57,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1167.6,No
2800-VEQXM,3,Month-to-month,"Mailed check","Mailed check",238.1,No
7538-GWHML,2,Month-to-month,"Electronic check","Electronic check",145.15,Yes
5533-RJFTJ,49,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1453.1,No
3859-CVCET,4,Month-to-month,"Mailed check","Mailed check",191.05,Yes
0214-JHPFW,70,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",4039.3,No
5642-MHDQT,53,"One year","Bank transfer (automatic)","Bank transfer (automatic)",1039.45,No
3088-FVYWK,53,"Two year","Credit card (automatic)","Credit card (automatic)",1336.1,No
3276-HDUEG,1,Month-to-month,"Mailed check","Mailed check",75.05,Yes
9092-GDZKO,22,Month-to-month,"Credit card (automatic)","Credit card (automatic)",493.4,No
0823-HSCDJ,52,Month-to-month,"Electronic check","Electronic check",2550.9,Yes
3729-OWRVL,65,"Two year","Electronic check","Electronic check",7246.15,No
2324-AALNO,48,"One year","Bank transfer (automatic)","Bank transfer (automatic)",1203.95,No
